,x,Q2,y,x,Q2,y,x,Q2,y
,mid,mid,mid,min,min,min,max,max,max
1,0.015,0.2047846879547636,0.30000000000000004,0.0,0.0,0.261,0.03,0.46281339477776573,0.339
2,0.045,0.6143540638642908,0.30000000000000004,0.03,0.3563253570412886,0.261,0.06,0.9256267895555315,0.339
3,0.08,1.092185002425406,0.30000000000000004,0.06,0.7126507140825772,0.261,0.1,1.5427113159258856,0.339
4,0.125,1.7065390662896969,0.30000000000000004,0.1,1.1877511901376288,0.261,0.15,2.3140669738888286,0.339
5,0.175,2.3891546928055756,0.30000000000000004,0.15,1.7816267852064434,0.261,0.2,3.0854226318517712,0.339
6,0.225,3.071770319321454,0.30000000000000004,0.2,2.3755023802752575,0.261,0.25,3.8567782898147143,0.339
7,0.275,3.754385945837333,0.30000000000000004,0.25,2.969377975344072,0.261,0.3,4.628133947777657,0.339
8,0.35,4.778309385611151,0.30000000000000004,0.3,3.5632535704128867,0.261,0.4,6.1708452637035425,0.339
9,0.45,6.143540638642908,0.30000000000000004,0.4,4.751004760550515,0.261,0.5,7.7135565796294285,0.339
10,0.55,7.508771891674666,0.30000000000000004,0.5,5.938755950688144,0.261,0.6,9.256267895555315,0.339
11,0.6499999999999999,8.874003144706423,0.30000000000000004,0.6,7.126507140825773,0.261,0.7,10.798979211481202,0.339
12,0.015,0.26622009434119265,0.39,0.0,0.0,0.339,0.03,0.6020669825870049,0.441
13,0.045,0.798660283023578,0.39,0.03,0.46281339477776573,0.339,0.06,1.2041339651740097,0.441
14,0.08,1.4198405031530277,0.39,0.06,0.9256267895555315,0.339,0.1,2.006889941956683,0.441
15,0.125,2.2185007861766057,0.39,0.1,1.5427113159258856,0.339,0.15,3.0103349129350248,0.441
16,0.175,3.1059011006472477,0.39,0.15,2.3140669738888286,0.339,0.2,4.013779883913366,0.441
17,0.225,3.99330141511789,0.39,0.2,3.0854226318517712,0.339,0.25,5.017224854891708,0.441
18,0.275,4.880701729588533,0.39,0.25,3.8567782898147143,0.339,0.3,6.0206698258700495,0.441
19,0.35,6.211802201294495,0.39,0.3,4.628133947777657,0.339,0.4,8.027559767826732,0.441
20,0.45,7.98660283023578,0.39,0.4,6.1708452637035425,0.339,0.5,10.034449709783416,0.441
21,0.55,9.761403459177066,0.39,0.5,7.7135565796294285,0.339,0.6,12.041339651740099,0.441
22,0.6499999999999999,11.536204088118348,0.39,0.6,9.256267895555315,0.339,0.7,14.048229593696783,0.441
23,0.015,0.34608612264355043,0.507,0.0,0.0,0.441,0.03,0.7822775079871968,0.573
24,0.045,1.0382583679306514,0.507,0.03,0.6020669825870049,0.441,0.06,1.5645550159743935,0.573
25,0.08,1.845792654098936,0.507,0.06,1.2041339651740097,0.441,0.1,2.607591693290656,0.573
26,0.125,2.884051022029587,0.507,0.1,2.006889941956683,0.441,0.15,3.9113875399359843,0.573
27,0.175,4.0376714308414225,0.507,0.15,3.0103349129350248,0.441,0.2,5.215183386581312,0.573
28,0.225,5.191291839653257,0.507,0.2,4.013779883913366,0.441,0.25,6.5189792332266405,0.573
29,0.275,6.344912248465091,0.507,0.25,5.017224854891708,0.441,0.3,7.822775079871969,0.573
30,0.35,8.075342861682845,0.507,0.3,6.0206698258700495,0.441,0.4,10.430366773162625,0.573
31,0.45,10.382583679306514,0.507,0.4,8.027559767826732,0.441,0.5,13.037958466453281,0.573
32,0.55,12.689824496930182,0.507,0.5,10.034449709783416,0.441,0.6,15.645550159743937,0.573
33,0.6499999999999999,14.997065314553852,0.507,0.6,12.041339651740099,0.441,0.7,18.25314185303459,0.573
34,0.015,0.449843697873964,0.659,0.0,0.0,0.573,0.03,1.0170972835086591,0.745
35,0.045,1.349531093621892,0.659,0.03,0.7822775079871968,0.573,0.06,2.0341945670173183,0.745
36,0.08,2.399166388661142,0.659,0.06,1.5645550159743935,0.573,0.1,3.390324278362197,0.745
37,0.125,3.7486974822830335,0.659,0.1,2.607591693290656,0.573,0.15,5.0854864175432954,0.745
38,0.175,5.248176475196247,0.659,0.15,3.9113875399359843,0.573,0.2,6.780648556724394,0.745
39,0.225,6.7476554681094605,0.659,0.2,5.215183386581312,0.573,0.25,8.475810695905494,0.745
40,0.275,8.247134461022673,0.659,0.25,6.5189792332266405,0.573,0.3,10.170972835086591,0.745
41,0.35,10.496352950392493,0.659,0.3,7.822775079871969,0.573,0.4,13.561297113448788,0.745
42,0.45,13.495310936218921,0.659,0.4,10.430366773162625,0.573,0.5,16.95162139181099,0.745
43,0.55,16.494268922045347,0.659,0.5,13.037958466453281,0.573,0.6,20.341945670173182,0.745
44,0.6499999999999999,19.493226907871772,0.659,0.6,15.645550159743937,0.573,0.7,23.732269948535382,0.745
45,0.015,0.20498947264271836,0.231,0.0,0.0,0.201,0.03,0.4632229641536752,0.261
46,0.045,0.614968417928155,0.231,0.03,0.3567349264171982,0.201,0.06,0.9264459283073504,0.261
47,0.08,1.0932771874278313,0.231,0.06,0.7134698528343963,0.201,0.1,1.5440765471789175,0.261
48,0.125,1.7082456053559862,0.231,0.1,1.1891164213906606,0.201,0.15,2.316114820768376,0.261
49,0.175,2.391543847498381,0.231,0.15,1.783674632085991,0.201,0.2,3.088153094357835,0.261
50,0.225,3.074842089640775,0.231,0.2,2.3782328427813213,0.201,0.25,3.8601913679472935,0.261
51,0.275,3.75814033178317,0.231,0.25,2.9727910534766515,0.201,0.3,4.632229641536752,0.261
52,0.35,4.783087694996762,0.231,0.3,3.567349264171982,0.201,0.4,6.17630618871567,0.261
53,0.45,6.14968417928155,0.231,0.4,4.756465685562643,0.201,0.5,7.720382735894587,0.261
54,0.55,7.51628066356634,0.231,0.5,5.945582106953303,0.201,0.6,9.264459283073505,0.261
55,0.6499999999999999,8.882877147851127,0.231,0.6,7.134698528343964,0.201,0.7,10.808535830252422,0.261
56,0.015,0.26622009434119265,0.30000000000000004,0.0,0.0,0.261,0.03,0.6016574132110954,0.339
57,0.045,0.798660283023578,0.30000000000000004,0.03,0.4632229641536752,0.261,0.06,1.203314826422191,0.339
58,0.08,1.419840503153028,0.30000000000000004,0.06,0.9264459283073504,0.261,0.1,2.0055247107036513,0.339
59,0.125,2.2185007861766057,0.30000000000000004,0.1,1.5440765471789175,0.261,0.15,3.0082870660554772,0.339
60,0.175,3.105901100647248,0.30000000000000004,0.15,2.316114820768376,0.261,0.2,4.011049421407303,0.339
61,0.225,3.9933014151178905,0.30000000000000004,0.2,3.088153094357835,0.261,0.25,5.013811776759129,0.339
62,0.275,4.880701729588532,0.30000000000000004,0.25,3.8601913679472935,0.261,0.3,6.0165741321109545,0.339
63,0.35,6.211802201294496,0.30000000000000004,0.3,4.632229641536752,0.261,0.4,8.022098842814605,0.339
64,0.45,7.986602830235781,0.30000000000000004,0.4,6.17630618871567,0.261,0.5,10.027623553518257,0.339
65,0.55,9.761403459177064,0.30000000000000004,0.5,7.720382735894587,0.261,0.6,12.033148264221909,0.339
66,0.6499999999999999,11.53620408811835,0.30000000000000004,0.6,9.264459283073505,0.261,0.7,14.03867297492556,0.339
67,0.015,0.34608612264355043,0.39,0.0,0.0,0.339,0.03,0.7826870773631063,0.441
68,0.045,1.0382583679306514,0.39,0.03,0.6016574132110954,0.339,0.06,1.5653741547262126,0.441
69,0.08,1.845792654098936,0.39,0.06,1.203314826422191,0.339,0.1,2.608956924543688,0.441
70,0.125,2.8840510220295874,0.39,0.1,2.0055247107036513,0.339,0.15,3.913435386815532,0.441
71,0.175,4.037671430841422,0.39,0.15,3.0082870660554772,0.339,0.2,5.217913849087376,0.441
72,0.225,5.191291839653257,0.39,0.2,4.011049421407303,0.339,0.25,6.52239231135922,0.441
73,0.275,6.344912248465092,0.39,0.25,5.013811776759129,0.339,0.3,7.826870773631064,0.441
74,0.35,8.075342861682843,0.39,0.3,6.0165741321109545,0.339,0.4,10.435827698174752,0.441
75,0.45,10.382583679306514,0.39,0.4,8.022098842814605,0.339,0.5,13.04478462271844,0.441
76,0.55,12.689824496930184,0.39,0.5,10.027623553518257,0.339,0.6,15.653741547262127,0.441
77,0.6499999999999999,14.997065314553852,0.39,0.6,12.033148264221909,0.339,0.7,18.262698471805816,0.441
78,0.015,0.44991195943661555,0.507,0.0,0.0,0.441,0.03,1.0169607603833557,0.573
79,0.045,1.3497358783098468,0.507,0.03,0.7826870773631063,0.441,0.06,2.0339215207667114,0.573
80,0.08,2.3995304503286166,0.507,0.06,1.5653741547262126,0.441,0.1,3.3898692012778526,0.573
81,0.125,3.749266328638463,0.507,0.1,2.608956924543688,0.441,0.15,5.084803801916779,0.573
82,0.175,5.248972860093849,0.507,0.15,3.913435386815532,0.441,0.2,6.779738402555705,0.573
83,0.225,6.748679391549234,0.507,0.2,5.217913849087376,0.441,0.25,8.474673003194631,0.573
84,0.275,8.24838592300462,0.507,0.25,6.52239231135922,0.441,0.3,10.169607603833558,0.573
85,0.35,10.497945720187698,0.507,0.3,7.826870773631064,0.441,0.4,13.55947680511141,0.573
86,0.45,13.497358783098468,0.507,0.4,10.435827698174752,0.441,0.5,16.949346006389263,0.573
87,0.55,16.49677184600924,0.507,0.5,13.04478462271844,0.441,0.6,20.339215207667117,0.573
88,0.6499999999999999,19.496184908920007,0.507,0.6,15.653741547262127,0.441,0.7,23.72908440894497,0.573
89,0.015,0.5847968072361531,0.659,0.0,0.0,0.573,0.03,1.3222264685612566,0.745
90,0.045,1.7543904217084596,0.659,0.03,1.0169607603833557,0.573,0.06,2.644452937122513,0.745
91,0.08,3.1189163052594844,0.659,0.06,2.0339215207667114,0.573,0.1,4.407421561870856,0.745
92,0.125,4.873306726967943,0.659,0.1,3.3898692012778526,0.573,0.15,6.611132342806284,0.745
93,0.175,6.822629417755121,0.659,0.15,5.084803801916779,0.573,0.2,8.814843123741712,0.745
