name,stat,syst
treatment,ADD,ADD
type,UNCORR,CORR
1,0.0358,0.0380618
2,0.0434,0.0389701
3,0.0615,0.0470146
4,0.0985,0.044826
5,0.0405,0.0366048
6,0.036,0.0425382
7,0.0347,0.0422158
8,0.0422,0.0448167
9,0.062,0.0496093
10,0.0928,0.0477462
11,0.0386,0.04279550000000001
12,0.0327,0.0439487
13,0.0305,0.044156400000000005
14,0.0351,0.047293600000000005
15,0.0512,0.0485274
16,0.069,0.0476222
17,0.0344,0.0396986
18,0.0289,0.03959940000000001
19,0.0271,0.0414253
20,0.0315,0.0408735
21,0.0453,0.0451794
22,0.0564,0.0427428
23,0.0313,0.0367071
24,0.0269,0.034282900000000005
25,0.0268,0.036335099999999995
26,0.0333,0.0369334
27,0.0426,0.0353617
28,0.059,0.0359724
29,0.0353,0.0341372
30,0.028,0.032302000000000004
31,0.0253,0.031533200000000004
32,0.0275,0.0309008
33,0.0368,0.032627500000000004
34,0.0401,0.0301289
35,0.0282,0.0276582
36,0.0245,0.026442999999999998
37,0.0246,0.028086000000000003
38,0.0303,0.027311000000000002
39,0.0346,0.023941300000000002
40,0.048,0.0243443
41,0.0209,0.0213497
42,0.0167,0.020438300000000003
43,0.0155,0.0198865
44,0.0171,0.020208900000000002
45,0.0212,0.0186589
46,0.0219,0.0186558
47,0.0157,0.0133548
48,0.0136,0.013038600000000001
49,0.0135,0.0122202
50,0.016,0.010812800000000001
51,0.0166,0.010288899999999998
52,0.021,0.0089404
53,0.014,0.0079701
54,0.0112,0.0077965000000000005
55,0.0107,0.0063798000000000014
56,0.0114,0.0058683
57,0.0132,0.0062465
58,0.0131,0.0043834
59,0.0127,0.004482600000000001
60,0.0081,0.0037603000000000003
61,0.0075,0.0036084
62,0.0077,0.002852
63,0.0086,0.0025544
64,0.0084,0.0023498000000000004
65,0.0358,0.0
66,0.0434,0.0
67,0.0615,0.0
68,0.0985,0.0
69,0.0405,0.0
70,0.036,0.0
71,0.0347,0.0
72,0.0422,0.0
73,0.062,0.0
74,0.0928,0.0
75,0.0386,0.0
76,0.0327,0.0
77,0.0305,0.0
78,0.0351,0.0
79,0.0512,0.0
80,0.069,0.0
81,0.0344,0.0
82,0.0289,0.0
83,0.0271,0.0
84,0.0315,0.0
85,0.0453,0.0
86,0.0564,0.0
87,0.0313,0.0
88,0.0269,0.0
89,0.0268,0.0
90,0.0333,0.0
91,0.0426,0.0
92,0.059,0.0
93,0.0353,0.0
94,0.028,0.0
95,0.0253,0.0
96,0.0275,0.0
97,0.0368,0.0
98,0.0401,0.0
99,0.0282,0.0
100,0.0245,0.0
101,0.0246,0.0
102,0.0303,0.0
103,0.0346,0.0
104,0.048,0.0
105,0.0209,0.0
106,0.0167,0.0
107,0.0155,0.0
108,0.0171,0.0
109,0.0212,0.0
110,0.0219,0.0
111,0.0157,0.0
112,0.0136,0.0
113,0.0135,0.0
114,0.016,0.0
115,0.0166,0.0
116,0.021,0.0
117,0.014,0.0
118,0.0112,0.0
119,0.0107,0.0
120,0.0114,0.0
121,0.0132,0.0
122,0.0131,0.0
123,0.0127,0.0
124,0.0081,0.0
125,0.0075,0.0
126,0.0077,0.0
127,0.0086,0.0
128,0.0084,0.0
